Наименование;Код продукции;Статус заказа;Дата отгрузки;Номер заказа;Покупатель;Количество
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;В работе;2 февраля 2026 г.;НФ00-004001;Покупатель 23;360
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;14 января 2026 г.;НФ00-002698;Покупатель 24;768
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;27 января 2026 г.;НФ00-003632;Покупатель 6;621
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;27 января 2026 г.;НФ00-003631;Покупатель 6;8
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;29 апреля 2026 г.;НФ00-003725;Покупатель 7;606
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 января 2026 г.;НФ00-003724;Покупатель 7;950
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;2 февраля 2026 г.;НФ00-003719;Покупатель 9;180
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;30 января 2026 г.;НФ00-003827;Покупатель 9;30
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;30 января 2026 г.;НФ00-003784;Покупатель 9;24
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;29 января 2026 г.;НФ00-003648;Покупатель 9;18
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;29 января 2026 г.;НФ00-003645;Покупатель 9;32
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;28 января 2026 г.;НФ00-004041;Покупатель 9;48
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;28 января 2026 г.;НФ00-003643;Покупатель 9;165
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 января 2026 г.;НФ00-003635;Покупатель 9;251
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 января 2026 г.;НФ00-003634;Покупатель 9;227
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003915;Покупатель 9;6
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003699;Покупатель 9;6
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003698;Покупатель 9;9
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003697;Покупатель 9;23
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003692;Покупатель 9;117
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003689;Покупатель 9;24
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003688;Покупатель 9;30
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003590;Покупатель 9;3
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003576;Покупатель 9;117
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-003571;Покупатель 9;3
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;22 января 2026 г.;НФ00-003687;Покупатель 9;76
